PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_TITLE;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_ATTRIBUTEDESCRIPTION;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;REQUIREMENTS_ATTRIBUTES_WEIGHT;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;3.3.13;Ensure Application Insights are Configured;Application Insights are Configured;3. Logging and Monitoring;3.3 Monitoring;Application Insights in Azure serves as an Application Performance Monitoring (APM) solution, providing valuable insights into application performance, telemetry data, and trace logs. It helps organizations monitor application health and troubleshoot incidents efficiently.;Enabling Application Insights enhances security monitoring and performance optimization by collecting metrics, telemetry, and trace logs. These logs aid in proactive performance tuning to reduce costs and support incident response by helping identify the root cause of potential security or operational issues. Integrating Application Insights into a broader logging and monitoring strategy strengthens an organization’s overall observability and security posture.;1;1;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;Azure subscription 1;appinsights_ensure_is_configured;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.1.4;Ensure Multi-factor Authentication is Required to access Microsoft Admin Portals;MFA Required to access Microsoft Admin Portals;1. IAM;1.1 Authentication;This recommendation ensures that users accessing Microsoft Admin Portals (such as Microsoft 365 Admin, Microsoft 365 Defender, Exchange Admin Center, and Azure Portal) must authenticate using multi-factor authentication (MFA) before logging in.;Microsoft Admin Portals provide privileged access to critical settings and resources, requiring enhanced security measures. Enforcing MFA reduces the risk of unauthorized access, credential compromise, and administrative abuse, preventing intruders from making unauthorized changes to administrative settings.;4;100;FAIL;Conditional Access Policy does not require MFA for Microsoft Admin Portals.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_admin_portals;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.1.3;Ensure Multi-factor Authentication is Required for Windows Azure Service Management API;MFA Required for Windows Azure Service Management API;1. IAM;1.1 Authentication;This recommendation ensures that users accessing the Windows Azure Service Management API (e.g., Azure PowerShell, Azure CLI, Azure Resource Manager API) are required to authenticate using multi-factor authentication (MFA) before accessing resources.;Administrative access to the Azure Service Management API should be secured with enhanced authentication measures to prevent unauthorized changes. Enforcing MFA helps mitigate the risk of credential compromise, privilege abuse, and unauthorized modifications to administrative settings. IMPORTANT: While exceptions for specific users or groups may be configured, they should be carefully tracked and periodically reviewed through an Access Review process. The policy should apply to all users by default, ensuring that only explicitly exempted accounts bypass MFA.;3;10;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.2;Ensure fewer than 5 users have global administrator assignment;Fewer than 5 users have global administrator assignment;1. IAM;1.2 Authorization;To maintain security and operational efficiency, it is recommended to have a minimum of two and a maximum of four users assigned the Global Administrator role in Microsoft Entra ID. This ensures redundancy while minimizing the risk of excessive privileged access.;The Global Administrator role holds broad privileges across Microsoft Entra ID services and should not be used for daily tasks. Administrators should have separate accounts for regular activities and privileged actions. Limiting the number of Global Administrators reduces the risk of unauthorized access, human error, and privilege misuse, while ensuring at least two administrators are available to prevent disruptions in case of unavailability. This approach aligns with the principle of least privilege and strengthens the security posture of an Azure tenant.;4;100;PASS;There are 1 global administrators.;d4ffd4a0-6b8e-4ace-8079-2b2a6c2748bb;Global Administrator;entra_global_admin_in_less_than_five_users;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.3.1;Ensure that 'Users can create security groups in Azure portals, API or PowerShell' is set to 'No';Users can create security groups in Azure portals, API or PowerShell' is set to 'No';1. IAM;1.3 Privilege Escalation Prevention;Limit the ability to create security groups to administrators only, preventing unauthorized users from managing group memberships.;Allowing all users to create and manage security groups can lead to uncontrolled access, misconfigurations, and potential security risks. Unless business requirements justify broader delegation, restricting security group creation to administrators ensures that group permissions and memberships are properly managed, reducing the risk of unauthorized access.;4;100;FAIL;Non-privileged users are able to create security groups via the Access Panel and the Azure administration portal.;authorizationPolicy;Authorization Policy;entra_policy_default_users_cannot_create_security_groups;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.3.2;Ensure That ‘Users Can Register Applications’ Is Set to ‘No’;‘Users Can Register Applications’ Is Set to ‘No’;1. IAM;1.3 Privilege Escalation Prevention;Restrict the ability to register third-party applications to administrators or appropriately delegated users, ensuring better security control over app integrations.;Allowing unrestricted application registration can expose Microsoft Entra ID data to security risks. Requiring administrator approval ensures that custom-developed applications undergo a formal security review before being granted access. Organizations may delegate permissions to developers or high-request users as needed, but policies should be reviewed to align with security best practices and operational needs.;4;100;FAIL;App creation is not disabled for non-admin users.;authorizationPolicy;Authorization Policy;entra_policy_ensure_default_user_cannot_create_apps;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.1;Ensure that 'Restrict non-admin users from creating tenants' is set to 'Yes';Restrict non-admin users from creating tenants is set to Yes;1. IAM;1.2 Authorization;Restrict the ability to create new Microsoft Entra ID or Azure AD B2C tenants to administrators or appropriately delegated users.;Limiting tenant creation to authorized administrators prevents unauthorized users from creating new tenants, reducing the risk of uncontrolled environments, misconfigurations, and potential security gaps. This ensures that only approved users can establish and manage tenant resources.;4;100;FAIL;Tenants creation is not disabled for non-admin users.;authorizationPolicy;Authorization Policy;entra_policy_ensure_default_user_cannot_create_tenants;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.3.3;Ensure that 'Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users';Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users';1. IAM;1.3 Privilege Escalation Prevention;Limit the ability to send invitations to users with specific administrative roles, preventing unauthorized guest access to cloud resources.;Restricting guest invitations to designated administrators helps enforce “Need to Know” permissions, reducing the risk of unintended data exposure. By default, anyone in the organization—including guests and non-admins—can invite external users, which can lead to unauthorized access. Restricting this capability ensures that only approved accounts can extend access to the tenant, strengthening security and access control.;2;8;FAIL;Guest invitations are not restricted to users with specific administrative roles only.;authorizationPolicy;Authorization Policy;entra_policy_guest_invite_only_for_admin_roles;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.3;Ensure That 'Guest users access restrictions' is set to 'Guest user access is restricted to properties and memberships of their own directory objects';Guest users access restrictions' is set to 'Guest user access is restricted to properties and memberships of their own directory objects';1. IAM;1.2 Authorization;Restrict guest user permissions to prevent unauthorized access to directory resources and administrative roles.;Limiting guest access ensures that guest accounts cannot enumerate users, groups, or directory objects and prevents them from being assigned administrative roles. Guest access has three levels of restriction, with the most secure option being: “Guest user access is restricted to their own directory object” (most restrictive). This setting minimizes the risk of unauthorized access and ensures guests only interact with their assigned resources.;3;10;FAIL;Guest user access is not restricted to properties and memberships of their own directory objects;authorizationPolicy;Authorization Policy;entra_policy_guest_users_access_restrictions;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.4;Ensure `User consent for applications` is set to `Do not allow user consent` ;`User consent for applications` is set to `Do not allow user consent` ;1. IAM;1.2 Authorization;Require administrators to provide consent before applications can access Microsoft Entra ID resources, preventing unauthorized or malicious app integrations.;Allowing users to grant application permissions without restrictions increases the risk of data exfiltration and privilege abuse by malicious applications. Restricting app consent to administrators ensures that only verified and approved applications gain access, protecting sensitive data and privileged accounts from unauthorized use.;4;100;FAIL;Entra allows users to consent apps accessing company data on their behalf;authorizationPolicy;Authorization Policy;entra_policy_restricts_user_consent_for_apps;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.5;Ensure ‘User consent for applications’ Is Set To ‘Allow for Verified Publishers’;‘User consent for applications’ Is Set To ‘Allow for Verified Publishers’;1. IAM;1.2 Authorization;Allow users to grant consent only for selected permissions when the request comes from a verified publisher, ensuring tighter control over third-party application access.;Restricting app consent to verified publishers helps mitigate the risk of unauthorized data access and privilege abuse. Malicious applications may attempt to exploit user-granted permissions, so ensuring only trusted, verified applications can request access enhances security while maintaining flexibility for approved integrations.;4;100;PASS;Entra does not allow users to consent non-verified apps accessing company data on their behalf.;authorizationPolicy;Authorization Policy;entra_policy_user_consent_for_verified_apps;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.1.1;Ensure that 'Multi-Factor Auth Status' is 'Enabled' for all Privileged Users;MFA enabled for privileged users;1. IAM;1.1 Authentication;[IMPORTANT] If your organization has Microsoft Entra ID licensing (included in Microsoft 365 E3, E5, F5, or EM&S E3/E5) and can use Conditional Access, you may skip this section and proceed to Conditional Access. Enable multi-factor authentication (MFA) for all users, roles, and groups with write access to Azure resources. This includes both custom-created roles and built-in roles such as: Service Co-Administrators, Subscription Owners, Contributors;MFA enhances security by requiring two or more authentication factors, ensuring that only authorized users gain access. It significantly reduces the risk of unauthorized access, credential theft, and privilege escalation. By implementing MFA, attackers must compromise multiple authentication mechanisms, making breaches far more difficult and improving overall Azure resource security.;4;100;FAIL;Privileged user Muhammad Hussain Zahid does not have MFA.;600e9727-dfc5-4b38-a9b7-40ddaba6ff00;Muhammad Hussain Zahid;entra_privileged_user_has_mfa;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
azure;Prowler ThreatScore Compliance Framework for Azure ensures that the Azure subscription is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;global;2026-04-07 15:21:07.449768;1.2.6;Ensure Trusted Locations Are Defined;Trusted Locations Are Defined;1. IAM;1.2 Authorization;Microsoft Entra ID Conditional Access allows organizations to define Named Locations and categorize them as trusted or untrusted. These locations can be based on geographical regions, specific IP addresses, or IP ranges to enhance access control policies.;Defining trusted IP addresses or ranges enables organizations to enforce Conditional Access policies based on user location. Users authenticating from trusted locations may receive fewer access restrictions, while those from untrusted sources can be subject to stricter security controls, reducing the risk of unauthorized access.;2;8;FAIL;There is no trusted location with IP ranges defined.;01bf3d89-3d3a-40b4-bea1-54f49b550ec1;muhammadhussainzahid5gmail.onmicrosoft.com;entra_trusted_named_locations_exists;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for Azure
