user,arn,user_creation_time,password_enabled,password_last_used,password_last_changed,password_next_rotation,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date,access_key_1_last_used_region,access_key_1_last_used_service,access_key_2_active,access_key_2_last_rotated,access_key_2_last_used_date,access_key_2_last_used_region,access_key_2_last_used_service,cert_1_active,cert_1_last_rotated,cert_2_active,cert_2_last_rotated
<root_account>,arn:aws:iam::334960985321:root,2025-05-14T13:07:11Z,true,2026-04-09T02:38:52Z,2025-05-14T13:07:11Z,not_supported,true,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
admin-dave,arn:aws:iam::334960985321:user/admin-dave,2026-04-09T03:42:36Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
analyst-carol,arn:aws:iam::334960985321:user/analyst-carol,2026-04-09T03:42:35Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
contractor-eve,arn:aws:iam::334960985321:user/contractor-eve,2026-04-09T03:42:40Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
dev-alice,arn:aws:iam::334960985321:user/dev-alice,2026-04-09T03:42:31Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
dev-bob,arn:aws:iam::334960985321:user/dev-bob,2026-04-09T03:42:33Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
hussain,arn:aws:iam::334960985321:user/hussain,2025-05-22T18:47:53Z,true,2025-05-22T19:05:52Z,2025-05-22T18:47:53Z,N/A,false,true,2026-04-04T14:35:47Z,2026-04-09T03:45:00Z,us-east-1,iam,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
sec-auditor,arn:aws:iam::334960985321:user/sec-auditor,2026-04-09T03:42:42Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
sec-user,arn:aws:iam::334960985321:user/sec-user,2026-04-06T18:49:11Z,false,N/A,N/A,N/A,false,true,2026-04-06T18:49:44Z,2026-04-07T19:16:00Z,eu-north-1,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
svc-backup,arn:aws:iam::334960985321:user/svc-backup,2026-04-09T03:42:38Z,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A